product image url,product name,product discription,product price,product discount price,product per off
,Noise X-Fit 2 (HRX Edition) Smart Watch with 1.69inch D...,"Black Strap, Regular","₹1,299","₹3,999",67% off
,Noise ColorFit Pro 2 Smartwatch,"Blue Strap, Regular","₹1,299","₹4,999",74% off
,Noise Evolve 2 AMOLED with 42mm Dial Size Smartwatch,"Black Strap, Regular","₹2,299","₹7,999",71% off
,Noise ColorFit Pro 3 Smartwatch,"Pink Strap, Regular","₹1,499","₹5,999",75% off
,Noise ColorFit Pro 2 Oxy Smartwatch,"Black Strap, Regular","₹1,299","₹4,999",74% off
,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Meta...","Deep Wine Strap, Regular","₹1,399","₹6,999",80% off
,Noise ColorFit Pro 3 Smartwatch,"Grey Strap, Regular","₹1,499","₹5,999",75% off
,"Noise ColorFit Caliber 2 with 1.83'' Display, Upto 12 D...","Black Strap, Regular","₹1,499","₹4,999",70% off
,Noise Fit Active SpO2 Smartwatch,"Grey Strap, Regular","₹1,999","₹5,999",66% off
,Noise Caliber Buzz 1.69'' Display with Advanced Bluetoo...,"Green Strap, Regular","₹1,599","₹4,999",68% off
,Noise Icon 2 Vista AMOLED Bluetooth Calling Smartwatch,"Grey Strap, Regular","₹1,399","₹6,999",80% off
,Noise ColorFit Pro 2 Smartwatch,"Deep Wine Strap, Regular","₹1,299","₹4,999",74% off
,Noise Caliber Buzz 1.69'' Display with Advanced Bluetoo...,"Black Strap, Regular","₹1,599","₹4,999",68% off
,Noise Caliber 2 Buzz 1.85'' Display with Bluetooth Call...,"Grey Strap, Regular","₹1,299","₹5,999",78% off
,"Noise Mettle 1.4'' display, Stainless Steel finish with...","Silver Strap, Regular","₹2,199","₹7,999",72% off
,Noise Caliber Buzz 1.69'' Display with Bluetooth Callin...,"Pink Strap, Regular","₹1,599","₹4,999",68% off
,Noise ColorFit Pro 2 Smartwatch,"Black Strap, Regular","₹1,299","₹4,999",74% off
,"Noise Qube with 1.4"" Full Touch display, Multi-Sports m...","Matte Black Strap, Regular",₹999,"₹4,999",80% off
,Noise ColorFit Pro4 Bluetooth Calling with 1.72'' TruVi...,"Charcoal Black Strap, Regular","₹1,299","₹5,999",78% off
,Noise Evolve 2 AMOLED with 42mm Dial Size Smartwatch,"Grey Strap, Regular","₹2,299","₹7,999",71% off
,Noise ColorFit Pro 2 Smartwatch,"Grey Strap, Regular","₹1,299","₹4,999",74% off
,"Noise Qube 2 1.96"" display with Bluetooth Calling, Buil...","Deep Wine Strap, Regular","₹1,399","₹6,999",80% off
,Noise Core 2 Buzz Bluetooth Calling with 1.28'' Round D...,"Grey Strap, Regular","₹1,799","₹5,999",70% off
,Noise ColorFit Brio Smartwatch,"Black Strap, Regular","₹1,999","₹5,999",66% off
,Noise ColorFit Pro 3 Alpha Smartwatch,"Pink Strap, Regular","₹5,999","₹8,999",33% off
,Noise Fit Active SpO2 Smartwatch,"Black Strap, Regular","₹1,999","₹5,999",66% off
,"Noise ColorFit Caliber Smart Watch with 15-day battery,...","Blue Strap, Regular",₹999,"₹3,999",75% off
